species,Range,Pixels
arinome,Medium,221339
belladonna,Small,20488
amphinome,Large,433009
laodamia,Medium,372010
velutina,Medium,140293
fornax,Medium,132323
iphthime,Medium,322290
epinome,Medium,327096
julitta,Small,1979
glauconome,Medium,50364
amphichloe,Medium,99643
februa,Large,448146
feronia,Medium,395002
guatemalena,Medium,59451
alicia,Small,18435
atlantis,Small,21948
chloe,Medium,330760
